"start","end","percent_diff","y0","y1","color","plot"
"2018-10-08 18:00","2018-11-01 17:00",-1093.4881561315,4265.67136866729,3172.18321253579,"red","s"
"2018-11-07 17:00","2019-01-02 17:00",-0.687,3.239,2.552,"red","default"
"2018-05-19","2019-05-17",-0.2,3,2.8,"blue","default"
"2018-05-19","2019-02-06",-55000,20000,-35000,"black","p10y"
